track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,PC1,PC2,PC3,PC4
3EJS5LyekDim1Tf5rBFmZl,Trippy Mane (ft. Project Pat),4,0,True,Diplo,77,2812821,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.55,-1.5940232371341347,0.6427415320250893,-1.3679441180088394,-1.417814336788468
1oQW6G2ZiwMuHqlPpP27DB,OMG!,1,0,True,Yelawolf,64,2363438,"country hip hop, southern hip hop",4SUmmwnv0xTjRcLdjczGg2,OMG!,2025-10-31,1,single,3.07,-1.7656752461862664,0.24234225733437106,0.2170326884742113,-1.5731529335161687
7mdkjzoIYlf1rx9EtBpGmU,Hard 2 Find,1,4,True,Riff Raff,48,193302,,3E3zEAL8gUYWaLYB9L7gbp,Hard 2 Find,2025-10-31,1,single,2.55,-2.3700319128222973,0.14162518375583974,-0.15081956313873235,-1.3931241118435322
67rW0Zl7oB3qEpD5YWWE5w,Still Get Like That (ft. Project Pat & Starrah),8,30,True,Diplo,77,2813710,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.69,-1.02705468308419,-0.039847252906158384,-1.4067883822552556,-0.6172019672507861
15xptTfRBrjsppW0INUZjf,ride me like a harley,2,0,True,Rumelis,48,8682,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.39,-2.466847749320395,0.2898791128017305,-0.28720624498457603,-1.465512313846638
4ccpCcZYseq8VrPMK1EDs0,BLEED,1,2,False,Minzie,46,7218,dark r&b,2NQv9p3ZQW0Ed1LB9enix8,BLEED,2025-10-30,3,single,2.76,-2.38166517069102,0.34715524310852636,0.03552439557751041,-1.3361177286468722
3QoQ3HqXTAjgEl9LbNMbYp,Te Procuro na Cidade,1,20,False,AZERDK,30,1657,,1PpuOsLjPWshDLxkr0oHeU,Te Procuro na Cidade,2025-10-30,1,single,4.12,-2.2572745389045004,-0.0590460846270377,1.3088449873155938,-0.7726517411016215
1YEZbdT417SfolPQzaoHs2,come closer,1,27,False,Rumelis,49,8802,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.53,-1.921155541756335,-0.3258246006127063,-0.3167404287834395,-0.7487863151961299
4pZ949nFW5SurwzE0TSe7I,Cupido Vagabundo,1,16,False,Toni dos Anjos,6,475,,60DLQZkzpvDvVfvEC6VOJM,Cupido Vagabundo,2025-10-30,2,single,2.92,-3.3834143345131644,0.06657494576269571,0.4061315836632237,-0.8047683393226109
0L0LgwFZ7UtBnRNQvSBty6,LET’S GO!,1,33,True,PsychoYP,48,154802,"nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing",3ARxksm8CspGeAaZZB1v2w,LET’S GO!,2025-10-28,1,single,2.4,-1.8961774722504996,-0.5410715913837092,-0.4457851299078901,-0.6384178829669931
5mfAZwEr4jAVDnSY0HHuyH,Stray,1,30,False,What Matters The Most,25,814,,0DHsJaaMzbygWosCjYk37t,Stray,2025-10-25,4,single,2.49,-2.6062061828018415,-0.2005789011006008,-0.22555334190489312,-0.47431896286489605
4V1Sh9Y2z6e8HpzNOet5rC,PAPARAZZI ARRIVE - English Ver.,1,48,False,A2O,46,13826,c-pop,54XcHEnJ2BKMOzkeRrRubu,PAPARAZZI ARRIVE,2025-10-24,14,album,2.89,-1.3364953224233445,0.053507663672688874,-0.2619580727416732,0.33994885522806456
0NZKfcua68wuZePhjp8N2I,Root of all Evil,5,65,False,Daniel Caesar,85,11137714,,115s3YJqm6iLblABdjtgzQ,Son Of Spergy,2025-10-24,12,album,4.41,0.7248207219692295,-0.4199230136394824,0.722770128330619,0.45046294970447687
6zFWxD9hkOPAIlgWAGyQGQ,Let’s Go!!,2,0,True,Ovi Jozi,17,3567,,0liPj9Le4hvoMJQhYOi5kP,"High Risk, High Reward",2025-10-24,6,single,2.05,-3.4691576040169454,0.6161419068560995,-0.42916984711180517,-1.1747457998699218
66F6YyfnWy6cNc6bd3zl2C,MELODY - CHENYU & SHIJIE & QUCHANG,11,27,False,A2O,46,13590,c-pop,54XcHEnJ2BKMOzkeRrRubu,PAPARAZZI ARRIVE,2025-10-24,14,album,4.25,-1.3570942453112937,0.6475269905058173,1.0813339119868637,-0.11914963853867806
